okres,obec,cintorín,národnosť,dôvodÚmrtia,dátumÚmrtia,početHrobov,početPochovaných,GPS
Želiezovce,Setich,katolícky obecný,"1 čes.
1 neznámy
","utopil sa
padol v boji s maď.
","1919
5/1919
",2,2,48.708308 20.794759
Želiezovce,Tekovské Šarluhy,reformovaný obecný,"1 domáci
7 maď.
6 neznámi
","zastrelení pri vpáde zastrelení pri vpáde
","6/1919
6/1919
",1,14,48.38488 18.61699
Želiezovce,Tekovské Šarlušky,katolícky,"neznámy
",-,-,1,1,48.38488 18.61699
Želiezovce,Tekovské Šarlušky,židovský,"7 maď. boľ.
3 neznámi
","zastrelení
zastrelení
","6/1919
6/1919
",10,10,48.38488 18.61699
Želiezovce,Veľký Pesek,spoločný obecný,"domáci
",-,-,2,2,48.840324 21.030912
Želiezovce,Zalaba,spoločný obecný,"domáci
",-,-,1,1,47.961388 18.702378
Želiezovce,Želiezovce,obecný,"5 čs.
1 rum.
1 maď.
","padol ako boľ. v boji
","6/1919
",7,7,48.049226 18.658355
Žilina,Bitarová,obecný,"domáci
",-,-,1,1,49.208468 18.666846
Žilina,Budatín,obecný,"domáci
",-,-,2,2,49.23531 18.73779
Žilina,Divina,katolícky obecný,"domáci
",-,-,2,2,49.302375 18.685791
Žilina,Chlumec nad Váhom,obecný,"domáci
",-,-,2,2,48.72125 17.89232
Žilina,Lalinek,katolícky obecný,"domáci
",-,-,4,4,49.26457 18.70911
Žilina,Nezbudská Lúčka,katolícky obecný,"neznámy
",-,"1919
",1,1,49.169917 18.925301
Žilina,Ovčiarsko,obecný,"domáci
",-,-,1,1,49.223584 18.666772
Žilina,Rajec,katolícky obecný,"domáci
",-,-,2,2,49.088626 18.635221
Žilina,Svederník,obecný,"domáci
",-,-,1,1,49.271675 18.650592
Žilina,Teplička nad Váhom,katolícky obecný,"tal.
",-,-,1,1,49.228025 18.797215
Žilina,Varín,židovský,"domáci
",-,-,1,1,49.206374 18.863408
Žilina,Závodie,obecný,"domáci
",-,-,2,2,49.21553 18.72305
Žilina,Žilina,nový civilný obecný,"3 čs.
18 neznámi
",-,-,21,21,49.220833 18.740556
Žilina,Žilina,starý civilný obecný,"3 čs.
1 rum.
3 maď.
2 neznámi
",-,-,1,9,49.220833 18.740556
Žilina,Žilina,židovský,"4 čs.
1 tal.
3 maď.
3 rum.
6 poľ.
2 juh.
2 neznámi
",-,-,21,21,49.220833 18.740556
Žilina,Žilina,vojenský,"225 čs.
14 tal.
158 maď.
13 nem.
71 poľ.
47 rak.
200 rum.
246 rus.
82 juh.
145 neznámi
",-,-,1201,1201,49.220833 18.740556
